,Area,County,New Case Rate,Case Count,Population,Death Rate,Death Count
0,California,Alpine County,271.7,22,5482,235.3,19
1,California,Sierra County,307.7,88,14804,98.1,31
2,California,Modoc County,310.5,220,44266,121.6,99
3,California,Mono County,250.9,235,71973,57.1,55
4,California,Trinity County,378.7,426,62705,116.3,142
5,California,Colusa County,394.8,469,107455,132.5,159
6,California,Inyo County,388.3,546,89649,146.2,217
7,California,Lassen County,346.6,608,153002,145.1,246
8,California,Mariposa County,385.1,612,86597,145.2,230
9,California,Del Norte County,340.6,635,138462,170.7,320
10,California,Plumas County,372.2,639,94220,149.1,266
11,California,Glenn County,509.8,851,140299,155.3,266
12,California,San Benito County,378.0,1221,307733,120.3,378
13,California,Siskiyou County,352.3,1277,217581,170.5,643
14,California,Amador County,434.9,1516,195117,143.5,533
15,California,Calaveras County,398.7,1636,229139,141.9,617
16,California,Yuba County,461.1,1801,387622,184.9,704
17,California,Tuolumne County,412.0,1918,270737,150.4,740
18,California,Tehama County,465.3,2065,320879,162.5,753
19,California,Lake County,445.9,2199,321380,179.9,926
20,California,Sutter County,416.8,2337,481573,152.5,881
21,California,Kings County,364.4,2438,755451,144.4,921
22,California,Mendocino County,431.6,2749,435551,147.4,982
23,California,Madera County,387.2,3225,779624,145.2,1188
24,California,Imperial County,367.6,3338,902899,122.4,1117
25,California,Nevada County,402.2,3470,497086,135.4,1237
26,California,Humboldt County,435.7,3775,680505,168.3,1487
27,California,Napa County,410.4,3880,692859,141.4,1412
28,California,Yolo County,397.9,4232,1093868,137.3,1445
29,California,Merced County,379.8,4801,1368306,154.3,1883
30,California,El Dorado County,416.4,5934,951727,127.5,1857
31,California,Shasta County,475.0,6087,896333,166.0,2225
32,California,Butte County,474.9,6733,1116722,166.7,2467
33,California,Santa Cruz County,444.7,7402,1365849,124.8,2051
34,California,Tulare County,365.0,7831,2319773,142.8,2991
35,California,Monterey County,379.2,8652,2164884,121.6,2793
36,California,San Luis Obispo County,445.2,8734,1412584,134.1,2741
37,California,Marin County,442.0,8768,1297205,111.7,2400
38,California,Santa Barbara County,436.3,10931,2224477,130.0,3434
39,California,Solano County,415.6,11138,2222688,158.1,4204
40,California,Placer County,439.2,11853,1958997,130.2,3723
41,California,Stanislaus County,422.2,11950,2731177,158.8,4441
42,California,Sonoma County,424.2,14646,2484006,137.5,4888
43,California,San Joaquin County,405.5,15660,3758076,150.8,5706
44,California,Kern County,405.0,16609,4462288,148.8,5852
45,California,San Mateo County,397.6,18703,3828114,114.0,5548
46,California,Fresno County,389.1,18774,4951020,139.5,6682
47,California,San Francisco County,380.0,19842,4373922,121.6,6639
48,California,Ventura County,422.0,21354,4227997,130.7,6687
49,California,Contra Costa County,405.9,28222,5738938,130.5,9158
50,California,Alameda County,371.5,34446,8307920,125.0,11391
51,California,Sacramento County,412.2,35109,7689741,150.7,12763
52,California,Santa Clara County,378.6,39840,9621896,113.5,11942
53,California,San Bernardino County,393.9,41625,10812662,150.7,15150
54,California,Riverside County,389.5,52737,12189318,138.2,18833
55,California,Orange County,404.2,74259,15851723,127.1,23536
56,California,San Diego County,418.5,76705,16619850,137.2,25202
57,California,Los Angeles County,367.6,202284,50203411,133.3,73078
