Area,County,Cancer Type,Year,Sex,Age-Adjusted Rate,Death Count,Population
New York,Hamilton County,All Types of Cancer,2016-2020,Male and Female,170.3,82,22271
New York,Schuyler County,All Types of Cancer,2016-2020,Male and Female,190.1,258,89225
New York,Lewis County,All Types of Cancer,2016-2020,Male and Female,145.8,272,132281
New York,Yates County,All Types of Cancer,2016-2020,Male and Female,153.9,286,124742
New York,Schoharie County,All Types of Cancer,2016-2020,Male and Female,152.9,374,155944
New York,Seneca County,All Types of Cancer,2016-2020,Male and Female,160.7,395,171475
New York,Wyoming County,All Types of Cancer,2016-2020,Male and Female,165.2,445,200137
New York,Cortland County,All Types of Cancer,2016-2020,Male and Female,157.9,469,238088
New York,Orleans County,All Types of Cancer,2016-2020,Male and Female,182.3,505,203122
New York,Tioga County,All Types of Cancer,2016-2020,Male and Female,140.1,519,242157
New York,Essex County,All Types of Cancer,2016-2020,Male and Female,165.2,533,186403
New York,Franklin County,All Types of Cancer,2016-2020,Male and Female,164.5,538,251943
New York,Allegany County,All Types of Cancer,2016-2020,Male and Female,166.9,541,231520
New York,Montgomery County,All Types of Cancer,2016-2020,Male and Female,164.5,577,246472
New York,Chenango County,All Types of Cancer,2016-2020,Male and Female,163.9,589,237633
New York,Delaware County,All Types of Cancer,2016-2020,Male and Female,152.8,603,223378
New York,Fulton County,All Types of Cancer,2016-2020,Male and Female,163.4,639,267260
New York,Greene County,All Types of Cancer,2016-2020,Male and Female,169.2,646,236673
New York,Herkimer County,All Types of Cancer,2016-2020,Male and Female,146.3,687,308688
New York,Otsego County,All Types of Cancer,2016-2020,Male and Female,152.9,694,297966
New York,Livingston County,All Types of Cancer,2016-2020,Male and Female,161.5,695,316088
New York,Genesee County,All Types of Cancer,2016-2020,Male and Female,165.5,696,287769
New York,Madison County,All Types of Cancer,2016-2020,Male and Female,145.2,714,354952
New York,Columbia County,All Types of Cancer,2016-2020,Male and Female,144.6,746,300081
New York,Tompkins County,All Types of Cancer,2016-2020,Male and Female,138.8,760,511184
New York,Washington County,All Types of Cancer,2016-2020,Male and Female,175.8,794,306521
New York,Warren County,All Types of Cancer,2016-2020,Male and Female,164.8,855,320936
New York,Cattaraugus County,All Types of Cancer,2016-2020,Male and Female,154.1,856,383751
New York,Cayuga County,All Types of Cancer,2016-2020,Male and Female,151.2,860,384791
New York,Sullivan County,All Types of Cancer,2016-2020,Male and Female,164.2,864,376647
New York,Clinton County,All Types of Cancer,2016-2020,Male and Female,164.8,882,401600
New York,Putnam County,All Types of Cancer,2016-2020,Male and Female,140.3,928,493568
New York,Jefferson County,All Types of Cancer,2016-2020,Male and Female,176.7,1037,557272
New York,Chemung County,All Types of Cancer,2016-2020,Male and Female,176.3,1069,420576
New York,Wayne County,All Types of Cancer,2016-2020,Male and Female,167.4,1075,450517
New York,St. Lawrence County,All Types of Cancer,2016-2020,Male and Female,159.8,1152,541759
New York,Steuben County,All Types of Cancer,2016-2020,Male and Female,166.6,1162,479215
New York,Oswego County,All Types of Cancer,2016-2020,Male and Female,167,1240,588151
New York,Ontario County,All Types of Cancer,2016-2020,Male and Female,152.1,1262,549037
New York,Chautauqua County,All Types of Cancer,2016-2020,Male and Female,161.5,1541,637918
New York,Schenectady County,All Types of Cancer,2016-2020,Male and Female,151.6,1599,775429
New York,Rensselaer County,All Types of Cancer,2016-2020,Male and Female,157.5,1634,795066
New York,Ulster County,All Types of Cancer,2016-2020,Male and Female,149.9,1979,891854
New York,Broome County,All Types of Cancer,2016-2020,Male and Female,152.5,2131,960209
New York,Saratoga County,All Types of Cancer,2016-2020,Male and Female,148.5,2335,1146563
New York,Rockland County,All Types of Cancer,2016-2020,Male and Female,120,2380,1626064
New York,Niagara County,All Types of Cancer,2016-2020,Male and Female,169.4,2589,1050725
New York,Oneida County,All Types of Cancer,2016-2020,Male and Female,162.3,2642,1145369
New York,Dutchess County,All Types of Cancer,2016-2020,Male and Female,140,2835,1467618
New York,Albany County,All Types of Cancer,2016-2020,Male and Female,151.5,3025,1530826
New York,Orange County,All Types of Cancer,2016-2020,Male and Female,149.6,3167,1910385
New York,Richmond County,All Types of Cancer,2016-2020,Male and Female,145.8,4342,2377978
New York,Onondaga County,All Types of Cancer,2016-2020,Male and Female,148.3,4503,2307956
New York,Monroe County,All Types of Cancer,2016-2020,Male and Female,151.2,7444,3715422
New York,Westchester County,All Types of Cancer,2016-2020,Male and Female,120.1,7960,4843691
New York,Bronx County,All Types of Cancer,2016-2020,Male and Female,135.7,10113,7135279
New York,Erie County,All Types of Cancer,2016-2020,Male and Female,162,10343,4594365
New York,Nassau County,All Types of Cancer,2016-2020,Male and Female,124.2,11820,6778157
New York,New York County,All Types of Cancer,2016-2020,Male and Female,114.6,11865,8145766
New York,Suffolk County,All Types of Cancer,2016-2020,Male and Female,139.2,13708,7405434
New York,Queens County,All Types of Cancer,2016-2020,Male and Female,116.8,16483,11356524
New York,Kings County,All Types of Cancer,2016-2020,Male and Female,125.4,17672,12883854
